"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000260573.4",43.3653770311765,-4.10803237938223,0.206797430244188,-19.8650069032842,8.17408859858321e-88,2.06133137493727e-86,"LOC124903770"
"ENSG00000165490.13",532.310346973077,1.44131128701588,0.0725660435239131,19.8620624333875,8.66770714139966e-88,2.18465618632096e-86,"DDIAS"
"ENSG00000183401.12",974.531973555299,-1.28017554093282,0.0644576256813482,-19.8607306335091,8.9006332097344e-88,2.24217905902063e-86,"CCDC159"
"ENSG00000167693.17",2080.0522401987,1.49016230159591,0.0750323294861517,19.8602697237454,8.98269017014438e-88,2.26165547066354e-86,"NXN"
"ENSG00000173546.7",2221.11981540808,1.7406911517521,0.0876528648111104,19.8589191066743,9.22751504083578e-88,2.32207129156905e-86,"CSPG4"
"ENSG00000235338.1",1.71448950490779,4.63036426936275,0.233196079722025,19.8560982452289,9.76052714930007e-88,2.45490642494026e-86,NA
"ENSG00000119938.9",1471.73513305522,-2.50085087276315,0.125954290272445,-19.8552257914653,9.93151740833122e-88,2.49659604982125e-86,"PPP1R3C"
"ENSG00000163507.14",720.156419383463,1.42249399404766,0.0716863430876793,19.8433053323394,1.25902559099732e-87,3.1616194501258e-86,"CIP2A"
"ENSG00000124713.6",183.697462296129,-2.73578037030467,0.137899610709956,-19.8389274358347,1.37357932123753e-87,3.44565371340631e-86,"GNMT"
"ENSG00000218713.1",29.2986801465067,-3.68532020690379,0.185771531978126,-19.8379168630516,1.4014659978675e-87,3.51375967614654e-86,NA
"ENSG00000198589.14",11179.6429416581,-1.31376279340449,0.0662337748403526,-19.8352395974884,1.47810506589638e-87,3.70396196938522e-86,"LRBA"
"ENSG00000162520.15",217.858047654396,-1.52344720590566,0.0768070789373806,-19.8347239210554,1.49333997753523e-87,3.73624887244086e-86,"SYNC"
"ENSG00000064886.14",2437.8677146676,2.8418122666029,0.143300737072659,19.8311071153947,1.60468657352765e-87,4.01272619988531e-86,"CHI3L2"
"ENSG00000143256.5",2958.438402456,1.28363933834356,0.0647363546476797,19.82872445212,1.68252563687171e-87,4.20516771726945e-86,"PFDN2"
"ENSG00000197905.10",1054.70569651066,1.28062343345387,0.0646192099402372,19.8179989300124,2.08225253905927e-87,5.20148647617178e-86,"TEAD4"
"ENSG00000170091.11",85.7897036051507,-4.14563759707634,0.209210925160103,-19.8155884732301,2.18439479683619e-87,5.4537819202475e-86,"NSG2"
"ENSG00000181867.3",3.41231840606523,5.76915380576715,0.291190743986995,19.8122843012648,2.33257634352565e-87,5.81765523502655e-86,"FTMT"
"ENSG00000120875.9",11655.1584064212,-2.37445590768304,0.119862687119655,-19.8098004036294,2.45053589509241e-87,6.10547049264744e-86,"DUSP4"
"ENSG00000287507.1",7.45165002965832,2.69511986295048,0.136063037349945,19.8078766683623,2.54596644567324e-87,6.33992176996448e-86,NA
"ENSG00000173917.10",2064.10197762047,-2.3497440311855,0.11864839746791,-19.8042626898607,2.73538058679347e-87,6.80804248655637e-86,"HOXB2"
"ENSG00000185519.9",30.2095194250195,2.90458693383341,0.146668223217817,19.803791646946,2.76108244353338e-87,6.86842662935713e-86,"FAM131C"
"ENSG00000212719.13",434.647043942022,1.49344377391978,0.0754189032057769,19.8019821349693,2.86207609694879e-87,7.11223672929635e-86,"LINC02693"
"ENSG00000237927.1",7.47228771933163,2.35895780062316,0.11914506084707,19.7990397910915,3.03422195016998e-87,7.53609073634144e-86,NA
"ENSG00000145545.12",1653.9370986358,1.57529706549804,0.0795656028548258,19.7987196599554,3.05356377126841e-87,7.5801819656677e-86,"SRD5A1"
"ENSG00000232692.1",16.2550135392633,2.47535295036048,0.125073309177204,19.7912165804567,3.54383582501342e-87,8.7880862707964e-86,NA
"ENSG00000226816.3",37.8802814800382,2.02392775169934,0.102267069845646,19.7906105528799,3.58670521397233e-87,8.88977190949575e-86,NA
"ENSG00000149970.16",89.9225022411128,2.18731765828348,0.110588705871548,19.7788521083166,4.52882715850776e-87,1.12190223744291e-85,"CNKSR2"
"ENSG00000204850.4",37.2842397683477,1.69524149165584,0.08571244120562,19.7782430159589,4.58385617218158e-87,1.13494470032618e-85,NA
"ENSG00000160214.13",2240.86235112308,1.21711238058941,0.0615511237944664,19.7740074519782,4.98541545366348e-87,1.2330887278986e-85,"RRP1"
